Time,PV power,Grid power,Battery power,Load power,Battery SOC
2024-06-18 16:20:00,822,1413,136,1756,100
2024-06-18 16:25:00,759,1357,140,1631,100
2024-06-18 16:30:00,633,1500,147,1661,100
2024-06-18 16:35:00,587,444,135,551,100
2024-06-18 16:40:00,565,2059,135,2146,100
2024-06-18 16:45:00,555,3325,134,3417,100
2024-06-18 16:50:00,523,3042,124,3110,100
2024-06-18 16:55:00,444,3101,106,3115,100
2024-06-18 17:00:00,358,2797,27.6,2808,100
2024-06-18 17:05:00,310,2717,2.97,2727,100
2024-06-18 17:10:00,273,1682,0,1690,100
2024-06-18 17:15:00,230,1458,0,1465,99.5
2024-06-18 17:20:00,208,386,0,393,99
2024-06-18 17:25:00,190,230,0,238,98.3
2024-06-18 17:30:00,185,229,0,239,98
2024-06-18 17:35:00,174,231,0,239,98.0
2024-06-18 17:40:00,157,230,0,239,97
2024-06-18 17:45:00,162,229,0,239,97
2024-06-18 17:50:00,164,218,0,226,96.7
2024-06-18 17:55:00,155,377,0,385,96
2024-06-18 18:00:00,159,249,0,258,96
2024-06-18 18:05:00,148,183,0,192,95.4
2024-06-18 18:10:00,135,160,0,168,95
2024-06-18 18:15:00,126,293,0,301,95
2024-06-18 18:20:00,108,303,0,312,94.1
2024-06-18 18:25:00,99.3,2975,0,2982,94
2024-06-18 18:30:00,8.47,4415,1472,2593,94
2024-06-18 18:35:00,0,2462,1620,450,94.8
2024-06-18 18:40:00,0,2306,1629,283,97.7
2024-06-18 18:45:00,0,749,358,208,99.5
2024-06-18 18:50:00,0,334,9.19,212,100
2024-06-18 18:55:00,0,488,114,193,100
2024-06-18 19:00:00,0,502,147,186,100
2024-06-18 19:05:00,0,528,147,204,100
2024-06-18 19:10:00,0,659,145,342,100
2024-06-18 19:15:00,0,488,132,174,100
2024-06-18 19:20:00,0,488,135,173,100
2024-06-18 19:25:00,0,493,127,174,100
2024-06-18 19:30:00,0,483,136,166,100
2024-06-18 19:35:00,0,433,128,118,100
2024-06-18 19:40:00,0,436,129,122,100
2024-06-18 19:45:00,0,314,53.6,114,100
2024-06-18 19:50:00,0,214,0,107,100
2024-06-18 19:55:00,0,240,0,130,100
2024-06-18 20:00:00,0,329,0,222,99.0
2024-06-18 20:05:00,0,347,0,234,98.8
2024-06-18 20:10:00,0,347,0,234,98
2024-06-18 20:15:00,0,611,0,499,98
2024-06-18 20:20:00,0,342,0,232,98
2024-06-18 20:25:00,0,641,0,529,97.4
2024-06-18 20:30:00,0,327,0,217,97
2024-06-18 20:35:00,0,344,0,231,97
2024-06-18 20:40:00,0,354,0,234,97
2024-06-18 20:45:00,0,349,0,232,96.1
2024-06-18 20:50:00,0,340,0,220,96
2024-06-18 20:55:00,0,343,0,223,98.3
2024-06-18 21:00:00,0,349,0,230,100
2024-06-18 21:05:00,0,337,0,219,100
2024-06-18 21:10:00,0,711,0,595,100
2024-06-18 21:15:00,0,349,0,232,100
2024-06-18 21:20:00,0,418,0,301,100
2024-06-18 21:25:00,0,407,0,287,100
2024-06-18 21:30:00,0,485,0,370,100
2024-06-18 21:35:00,0,1407,0,1294,100
2024-06-18 21:40:00,0,1399,0,1284,100
2024-06-18 21:45:00,0,1393,0,1279,100
2024-06-18 21:50:00,0,1392,0,1276,100
2024-06-18 21:55:00,0,698,0,579,100
2024-06-18 22:00:00,0,418,0,301,100
2024-06-18 22:05:00,0,419,0,305,100
2024-06-18 22:10:00,0,305,0,194,100
2024-06-18 22:15:00,0,297,0,181,100
2024-06-18 22:20:00,0,290,0,170,100
2024-06-18 22:25:00,0,299,0,180,100
2024-06-18 22:30:00,0,316,0,198,100
2024-06-18 22:35:00,0,349,0,225,100
2024-06-18 22:40:00,0,346,0,221,100
2024-06-18 22:45:00,0,361,0,235,100
2024-06-18 22:50:00,0,316,0,193,100
2024-06-18 22:55:00,0,335,0,214,100
2024-06-18 23:00:00,0,308,0,181,100
2024-06-18 23:05:00,0,407,0,278,100
2024-06-18 23:10:00,0,1334,0,1210,100
2024-06-18 23:15:00,0,1335,0,1210,100
2024-06-18 23:20:00,0,1333,0,1205,100
2024-06-18 23:25:00,0,1329,0,1206,100
2024-06-18 23:30:00,0,1337,0,1210,100
2024-06-18 23:35:00,0,1014,0,890,100
2024-06-18 23:40:00,0,278,0,153,100
2024-06-18 23:45:00,0,268,0,149,100
2024-06-18 23:50:00,0,226,0,104,100
2024-06-18 23:55:00,0,256,0,130,100
2024-06-19 00:00:00,0,280,0,152,100
2024-06-19 00:05:00,0,282,0,154,100
2024-06-19 00:10:00,0,284,0,153,100
2024-06-19 00:15:00,0,278,0,152,100
2024-06-19 00:20:00,0,309,0,180,100
2024-06-19 00:25:00,0,493,0,369,100
2024-06-19 00:30:00,0,491,0,368,100
